time;I(D5);P(D5);
0.0007834;-1.74898e-10;4.2717e-10;
0.0007854;-1.59809e-10;3.90315e-10;
0.0007874;-1.75242e-10;4.28009e-10;
0.0007894;-1.59484e-10;3.89521e-10;
0.0007914;-1.75549e-10;4.28759e-10;
0.0007934;-1.59194e-10;3.88813e-10;
0.0007954;-1.75823e-10;4.29428e-10;
0.0007974;-1.58935e-10;3.88181e-10;
0.0007994;-1.76067e-10;4.30025e-10;
0.0008014;-1.58704e-10;3.87617e-10;
0.0008034;-1.76286e-10;4.30558e-10;
0.0008054;-1.58498e-10;3.87114e-10;
0.0008074;-1.7648e-10;4.31033e-10;
0.0008094;-1.58314e-10;3.86665e-10;
0.0008114;-1.76654e-10;4.31457e-10;
0.0008134;-1.5815e-10;3.86264e-10;
0.0008154;-1.76809e-10;4.31836e-10;
0.0008174;-1.58004e-10;3.85907e-10;
0.0008194;-1.76947e-10;4.32173e-10;
0.0008214;-1.57874e-10;3.85589e-10;
0.0008234;-1.7707e-10;4.32474e-10;
0.0008254;-1.57757e-10;3.85305e-10;
0.0008274;-1.7718e-10;4.32742e-10;
0.0008294;-1.57654e-10;3.85051e-10;
0.0008314;-1.77278e-10;4.32981e-10;
0.0008334;-1.57561e-10;3.84826e-10;
0.0008354;-1.77365e-10;4.33194e-10;
0.0008374;-1.57479e-10;3.84625e-10;
0.0008394;-1.77443e-10;4.33384e-10;
0.0008414;-1.57406e-10;3.84446e-10;
0.0008434;-1.77512e-10;4.33553e-10;
0.0008454;-1.57341e-10;3.84287e-10;
0.0008474;-1.77573e-10;4.33703e-10;
0.0008494;-1.57283e-10;3.84145e-10;
0.0008514;-1.77628e-10;4.33836e-10;
0.0008534;-1.57231e-10;3.84019e-10;
0.0008554;-1.77677e-10;4.33955e-10;
0.0008574;-1.57185e-10;3.83907e-10;
0.0008594;-1.7772e-10;4.34061e-10;
0.0008614;-1.57144e-10;3.83807e-10;
0.0008634;-1.77758e-10;4.34155e-10;
0.0008654;-1.57108e-10;3.83719e-10;
0.0008674;-1.77792e-10;4.34238e-10;
0.0008694;-1.57076e-10;3.83641e-10;
0.0008714;-1.77823e-10;4.34312e-10;
0.0008734;-1.57048e-10;3.83571e-10;
0.0008754;-1.77849e-10;4.34377e-10;
0.0008774;-1.57023e-10;3.8351e-10;
0.0008794;-1.77873e-10;4.34435e-10;
0.0008814;-1.57e-10;3.83455e-10;
0.0008834;-1.77894e-10;4.34486e-10;
0.0008854;-1.56981e-10;3.83408e-10;
0.0008874;-1.77912e-10;4.34531e-10;
0.0008894;-1.56963e-10;3.83365e-10;
0.0008914;-1.77929e-10;4.34571e-10;
0.0008934;-1.56948e-10;3.83328e-10;
0.0008954;-1.77943e-10;4.34606e-10;
0.0008974;-1.56935e-10;3.83295e-10;
0.0008994;-1.77955e-10;4.34636e-10;
0.0009014;-1.56923e-10;3.83267e-10;
0.0009034;-1.77966e-10;4.34663e-10;
0.0009054;-1.56913e-10;3.83242e-10;
0.0009074;-1.77976e-10;4.34686e-10;
0.0009094;-1.56904e-10;3.8322e-10;
0.0009114;-1.77984e-10;4.34707e-10;
0.0009134;-1.56896e-10;3.83201e-10;
0.0009154;-1.77992e-10;4.34724e-10;
0.0009174;-1.56889e-10;3.83185e-10;
0.0009194;-1.77998e-10;4.34739e-10;
0.0009214;-1.56884e-10;3.83171e-10;
0.0009234;-1.78003e-10;4.34752e-10;
0.0009254;-1.56879e-10;3.83159e-10;
0.0009274;-1.78008e-10;4.34763e-10;
0.0009294;-1.56875e-10;3.83148e-10;
0.0009314;-1.78011e-10;4.34773e-10;
0.0009334;-1.56871e-10;3.8314e-10;
0.0009354;-1.78015e-10;4.3478e-10;
0.0009374;-1.56868e-10;3.83133e-10;
0.0009394;-1.78017e-10;4.34787e-10;
0.0009414;-1.56866e-10;3.83127e-10;
0.0009434;-1.78019e-10;4.34792e-10;
0.0009454;-1.56864e-10;3.83123e-10;
0.0009474;-1.78021e-10;4.34796e-10;
0.0009494;-1.56863e-10;3.83119e-10;
0.0009514;-1.78022e-10;4.34799e-10;
0.0009534;-1.56861e-10;3.83116e-10;
0.0009554;-1.78023e-10;4.34801e-10;
0.0009574;-1.56861e-10;3.83115e-10;
0.0009594;-1.78024e-10;4.34803e-10;
0.0009614;-1.5686e-10;3.83114e-10;
0.0009634;-1.78024e-10;4.34803e-10;
0.0009654;-1.5686e-10;3.83113e-10;
0.0009674;-1.78024e-10;4.34803e-10;
0.0009694;-1.5686e-10;3.83113e-10;
0.0009714;-1.78024e-10;4.34803e-10;
0.0009734;-1.56861e-10;3.83114e-10;
0.0009754;-1.78023e-10;4.34802e-10;
0.0009774;-1.56861e-10;3.83115e-10;
0.0009794;-1.78023e-10;4.348e-10;
0.0009814;-1.56862e-10;3.83117e-10;
0.0009834;-1.78022e-10;4.34799e-10;
0.0009854;-1.56863e-10;3.83119e-10;
0.0009874;-1.78021e-10;4.34796e-10;
0.0009894;-1.56864e-10;3.83121e-10;
0.0009914;-1.7802e-10;4.34794e-10;
0.0009934;-1.56865e-10;3.83124e-10;
0.0009954;-1.78019e-10;4.34791e-10;
0.0009974;-1.56866e-10;3.83127e-10;
0.0009994;-1.78018e-10;4.34788e-10;
0.001;-1.56869e-10;3.83134e-10;
0.0010002;-4.03632e-08;9.86231e-08;
0.0010006;-1.14584e-07;2.80129e-07;
0.0010014;-2.33667e-07;5.75918e-07;
0.001003;-4.00549e-07;1.01284e-06;
0.001005;-5.25839e-07;1.39192e-06;
0.001007;-5.93692e-07;1.65814e-06;
0.001009;-6.20861e-07;1.83444e-06;
0.001011;-6.12173e-07;1.91156e-06;
0.001013;-5.73124e-07;1.88414e-06;
0.001015;-5.2497e-07;1.80764e-06;
0.001017;-4.85996e-07;1.74444e-06;
0.001019;-4.58681e-07;1.71004e-06;
0.001021;-4.39451e-07;1.69721e-06;
0.001023;-4.25507e-07;1.69904e-06;
0.001025;-4.1459e-07;1.70886e-06;
0.001027;-4.05746e-07;1.72414e-06;
0.001029;-4.08699e-07;1.78839e-06;
0.001031;-1.49732e-06;6.74022e-06;
0.001033;-8.88028e-05;0.000410326;
0.001035;-0.000864963;0.00405127;
0.001037;-0.00136315;0.00640256;
0.001039;-0.00190305;0.00895717;
0.001041;-0.0024192;0.0114042;
0.001043;-0.00296014;0.0139729;
0.001045;-0.0034855;0.0164711;
0.001047;-0.00402808;0.0190542;
0.001049;-0.00455886;0.021584;
0.00105;-0.00483305;0.0228912;
0.0010502;-0.00484514;0.0229495;
0.0010506;-0.00485171;0.0229808;
0.0010514;-0.00484821;0.0229641;
0.001053;-0.00485088;0.0229768;
0.001055;-0.0048486;0.022966;
0.001057;-0.00485058;0.0229754;
0.001059;-0.00484886;0.0229672;
0.001061;-0.00485036;0.0229744;
0.001063;-0.00484905;0.0229681;
0.001065;-0.00485019;0.0229736;
0.001067;-0.0048492;0.0229688;
0.001069;-0.00485006;0.0229729;
0.001071;-0.00484931;0.0229694;
0.001073;-0.00484996;0.0229725;
0.001075;-0.0048494;0.0229698;
0.001077;-0.00484989;0.0229721;
0.001079;-0.00484946;0.0229701;
0.001081;-0.00484983;0.0229719;
0.001083;-0.00484951;0.0229703;
0.001085;-0.00484979;0.0229717;
0.001087;-0.00484955;0.0229705;
0.001089;-0.00484976;0.0229715;
0.001091;-0.00484957;0.0229706;
0.001093;-0.00484973;0.0229714;
0.001095;-0.00484959;0.0229707;
0.001097;-0.00484972;0.0229713;
0.001099;-0.00484961;0.0229708;
0.001101;-0.0048497;0.0229712;
0.001103;-0.00484962;0.0229709;
