time;I(D7);P(QU1);
0.001025;-1.53067e-07;2.29486e-10;
0.001027;-1.52255e-07;2.29494e-10;
0.001029;-1.51452e-07;2.29501e-10;
0.001031;-1.50657e-07;2.29509e-10;
0.001033;-1.4987e-07;2.29516e-10;
0.001035;-1.49092e-07;2.29523e-10;
0.001037;-1.48321e-07;2.2953e-10;
0.001039;-1.47559e-07;2.29537e-10;
0.001041;-1.46804e-07;2.29544e-10;
0.001043;-1.46057e-07;2.29551e-10;
0.001045;-1.45317e-07;2.29558e-10;
0.001047;-1.44585e-07;2.29565e-10;
0.001049;-1.4386e-07;2.29572e-10;
0.00105;-1.435e-07;2.29575e-10;
0.0010502;-1.43428e-07;2.29576e-10;
0.0010506;-1.43285e-07;2.29577e-10;
0.0010514;-1.42999e-07;2.29578e-10;
0.001053;-1.42431e-07;2.29582e-10;
0.001055;-1.41728e-07;2.29586e-10;
0.001057;-1.41031e-07;2.2959e-10;
0.001059;-1.40341e-07;2.29594e-10;
0.001061;-1.39658e-07;2.29598e-10;
0.001063;-1.38981e-07;2.29602e-10;
0.001065;-1.38311e-07;2.29606e-10;
0.001067;-1.37647e-07;2.2961e-10;
0.001069;-1.3699e-07;2.29614e-10;
0.001071;-1.36339e-07;2.29618e-10;
0.001073;-1.35694e-07;2.29622e-10;
0.001075;-1.35054e-07;2.29626e-10;
0.001077;-1.34421e-07;2.2963e-10;
0.001079;-1.33794e-07;2.29634e-10;
0.001081;-1.33173e-07;2.29637e-10;
0.001083;-1.32557e-07;2.29641e-10;
0.001085;-1.31947e-07;2.29645e-10;
0.001087;-1.31343e-07;2.29649e-10;
0.001089;-1.30744e-07;2.29653e-10;
0.001091;-1.3015e-07;2.29657e-10;
0.001093;-1.29562e-07;2.2966e-10;
0.001095;-1.28979e-07;2.29664e-10;
0.001097;-1.28402e-07;2.29668e-10;
0.001099;-1.27829e-07;2.29671e-10;
0.001101;-1.27261e-07;2.29675e-10;
0.001103;-1.26699e-07;2.29679e-10;
0.001105;-1.26141e-07;2.29683e-10;
0.001107;-1.25589e-07;2.29686e-10;
0.001109;-1.25041e-07;2.2969e-10;
0.001111;-1.24498e-07;2.29693e-10;
0.001113;-1.23959e-07;2.29697e-10;
0.001115;-1.23425e-07;2.29701e-10;
0.001117;-1.22896e-07;2.29704e-10;
0.001119;-1.22371e-07;2.29708e-10;
0.001121;-1.21851e-07;2.29711e-10;
0.001123;-1.21335e-07;2.29715e-10;
0.001125;-1.20823e-07;2.29718e-10;
0.0011252;-4.08556e-12;6.22451e-10;
0.0011256;-3.36373e-12;0.00201263;
0.0011264;-3.53355e-12;0.0116467;
0.001127;-7.74062e-11;0.0184501;
0.00112716;-7.80688e-09;0.0182473;
0.00112748;-8.31942e-05;0.0187212;
0.00112785;-0.0406297;0.303378;
0.00112831;-0.0334338;0.00475367;
0.00112854;-1.57169e-10;0.00852294;
0.00112879;-3.56358e-12;0.00149206;
0.00112899;-3.79901e-12;0.00134243;
0.00112918;-2.83613e-11;0.00120264;
0.0011295;-2.34863e-07;0.000967444;
0.00112995;-0.00434368;0.000805593;
0.00113049;-0.00126747;0.00250231;
0.0011312;-0.0027428;0.000529135;
0.00113237;-0.00219119;0.0025806;
0.00113419;-0.00235584;0.000487581;
0.00113619;-0.00240794;0.00254179;
0.00113819;-0.00219309;0.000492099;
0.00114019;-0.00253248;0.00248477;
0.00114219;-0.00210032;0.000521265;
0.00114419;-0.00259935;0.00241741;
0.00114619;-0.00205281;0.00056527;
0.00114819;-0.00263093;0.00234727;
0.00115019;-0.0020319;0.000616444;
