time;I(D4);I(D5);I(D6);I(D7);
0.000292792;0.0228029;-7.86637e-05;-4.36137e-12;-0.00222723;
0.000293792;0.0231979;-0.0098843;-4.36398e-12;-0.0022688;
0.000294792;0.0228012;-8.60221e-05;-4.36138e-12;-0.00222742;
0.000295792;0.0231996;-0.00986693;-4.36396e-12;-0.00226862;
0.000296792;0.0227995;-9.36803e-05;-4.36139e-12;-0.0022276;
0.000297792;0.0232013;-0.00984974;-4.36395e-12;-0.00226844;
0.000298792;0.0227979;-0.000101525;-4.36141e-12;-0.00222777;
0.000299792;0.023203;-0.00983273;-4.36393e-12;-0.00226828;
0.000300792;0.0227962;-0.000109755;-4.36142e-12;-0.00222794;
0.000301792;0.0232047;-0.00981593;-4.36392e-12;-0.00226812;
0.000302792;0.0227945;-0.000118221;-4.36143e-12;-0.0022281;
0.000303792;0.0232063;-0.00979922;-4.36391e-12;-0.00226796;
0.000304792;0.0227928;-0.00012691;-4.36144e-12;-0.00222826;
0.000305792;0.023208;-0.00978263;-4.3639e-12;-0.0022678;
0.000306792;0.0227912;-0.000135807;-4.36146e-12;-0.00222843;
0.000307792;0.0232097;-0.00976624;-4.36388e-12;-0.00226765;
0.000308792;0.0227895;-0.000144894;-4.36147e-12;-0.00222856;
0.000309792;0.0232113;-0.00974998;-4.36387e-12;-0.00226752;
0.000310792;0.0227878;-0.000154158;-4.36148e-12;-0.00222869;
0.000311792;0.023213;-0.00973386;-4.36386e-12;-0.0022674;
0.000312792;0.0227862;-0.000163584;-4.36149e-12;-0.00222881;
0.000313792;0.0232146;-0.00971724;-4.36385e-12;-0.00226728;
0.000314792;0.0227845;-0.000173196;-4.3615e-12;-0.00222891;
0.000315792;0.0232163;-0.00970166;-4.36384e-12;-0.00226717;
0.000316792;0.0227829;-0.000182911;-4.36151e-12;-0.00222903;
0.000317792;0.0232179;-0.00968611;-4.36383e-12;-0.00226705;
0.000318792;0.0227812;-0.000192744;-4.36152e-12;-0.00222916;
0.000319792;0.0232196;-0.00967057;-4.36382e-12;-0.00226693;
